station_id,latitude,longitude,name,observation_time,temperature,temperature_high,temperature_low,humidity,solar_radiation,solar_radiation_high,rain,rain_inches_last_hour,wind_speed_mph,wind_direction_degrees,wind_gust_speed_mph,wind_gust_direction_degrees,pressure,soil_temp_1,soil_temp_2,soil_temp_3,soil_temp_4,soil_moist_1,soil_moist_2,soil_moist_3,soil_moist_4
44,40.41936,-86.89753,Pedestrian Bridge,2021-02-23T23:45:00Z,46,47,46,68,3,7,0,0,3,180,7,157.5,29.978,,,,,,,,
45,40.57594,-86.42681,WHIN045-CARR003,2021-02-23T23:45:00Z,40,41,40,77,2,7,0,0,0,202.5,2,202.5,29.233,34,33,35,35,4,7,4,5
46,40.62386,-86.56297,WHIN046-CARR004,2021-02-23T23:45:00Z,40,42,40,76,2,7,0,0,4,180,5,180,29.263,33,34,34,35,7,5,4,4
47,40.62344,-86.49658,WHIN047-CARR005,2021-02-23T23:45:00Z,41,41,41,76,2,7,0,0,4,180,6,180,29.263,32,32,34,35,13,20,13,8
48,40.61944,-86.43236,WHIN048-CARR006,2021-02-23T23:30:00Z,39,39,38,75,9,18,0,0,4,202.5,5,202.5,29.218,33,33,34,34,13,15,12,15
49,40.64308,-86.42975,WHIN049-CARR007,2021-02-23T23:30:00Z,38,38,36,82,9,12,0,0,4,202.5,6,202.5,29.21,34,34,35,36,12,7,9,6
50,40.57311,-86.53475,WHIN050-CARR008,2021-02-23T23:45:00Z,37,38,37,78,2,7,0,0,1,0,3,0,29.277,34,35,35,35,6,6,10,10
51,40.913701522318,-86.544452991376,Thornhope,2021-02-23T23:45:00Z,38,38,38,81,,32767,0,0,6,202.5,8,202.5,29.902,33,33,34,34,9,11,9,12
52,41.08899,-86.89137,Medaryville,2021-02-23T23:45:00Z,38,38,38,82,,32767,0,0,5,202.5,7,225,30.002,32,33,34,36,5,,20,13
54,41.012359886604,-86.909964319358,Francessville,2021-02-23T23:45:00Z,34,35,34,90,,32767,0,0,0,,0,,30.16,32,31,32,32,140,85,37,14
55,40.822126046304,-86.759834375272,Monticello,2021-02-23T23:30:00Z,40,41,40,78,,32767,0,0,2,202.5,4,202.5,29.91,35,35,36,36,9,10,8,7
56,40.909704281781,-86.636374976525,Headlee,2021-02-23T23:30:00Z,39,40,39,80,,32767,0,0,5,202.5,9,202.5,29.93,35,36,36,41,13,9,9,8
57,40.755444682488,-86.687721844802,Idaville,2021-02-23T23:45:00Z,38,39,38,79,2,7,0,0,0,,0,,30.213,34,34,35,36,45,40,200,25
58,40.719674988624,-86.953554239163,Reynolds,2021-02-23T23:30:00Z,38,39,38,84,,32767,0,0,0,,0,,30.106,32,32,34,34,8,10,11,17
59,40.815599089784,-87.022044446359,Wolcott,2021-02-23T23:45:00Z,34,35,34,90,,32767,0,0,0,,0,,30.128,32,33,34,34,21,18,13,12
60,40.661383255671,-86.899775948415,Chalmers,2021-02-23T23:30:00Z,36,36,36,86,,32767,0,0,0,,0,,30.2,32,33,34,35,16,200,12,10
61,40.802036678067,-86.946194257626,Reynolds,2021-02-23T23:45:00Z,37,39,37,82,,32767,0,0,4,180,9,180,30.345,32,32,33,35,6,6,23,22
63,40.728301946834,-86.916239347348,Reynolds,2021-02-23T23:45:00Z,38,39,38,83,,32767,0,0,0,,0,,29.924,32,32,33,34,129,60,7,6
64,40.773402475519,-86.666370119939,Idaville,2021-02-23T23:30:00Z,38,39,38,84,,32767,0,0,3,225,7,225,29.926,34,34,35,35,40,8,15,7
65,40.829575795889,-86.652744498143,Buffalo,2021-02-23T23:30:00Z,38,39,38,83,,32767,0,0,3,180,4,180,29.93,35,35,36,37,17,11,8,10
66,40.90814342753,-86.658618535886,Buffalo,2021-02-23T23:30:00Z,38,38,38,85,,32767,0,0,6,202.5,8,202.5,29.901,32,34,33,34,40,24,20,16
68,40.75949114047,-86.740778621325,Monticello,2021-02-23T23:45:00Z,40,40,40,71,,32767,0,0,3,225,4,225,30.145,32,32,33,33,47,42,8,11
69,40.695562770384,-86.818620350251,Chalmers,2021-02-23T23:30:00Z,35,36,35,85,,32767,0,0,1,180,4,180,29.928,,,,,,,,
70,40.770583065226,-86.824475612531,Monticello,2021-02-23T23:30:00Z,,,,,,32767,0,0,,,0,,29.856,35,35,35,35,1,0,1,0
71,40.825688147858,-86.849015142808,Reynolds,2021-02-23T23:45:00Z,37,38,37,79,,32767,0,0,0,202.5,1,202.5,30.126,32,33,33,34,15,9,15,32
73,40.826201643016,-86.95772775639,Reynolds,2021-02-23T23:45:00Z,35,36,35,88,,32767,0,0,4,202.5,6,202.5,30.24,33,34,35,36,14,19,22,17
74,40.761498387845,-86.929607477078,Reynolds,2021-02-23T23:45:00Z,37,37,37,85,,32767,0,0,0,,0,,30.135,32,32,33,34,22,44,48,11
75,40.689715884521,-86.90624007214,Chalmers,2021-02-23T23:30:00Z,36,37,36,87,,32767,0,0,5,180,7,180,29.828,32,32,33,34,13,7,8,9
76,40.673137428347,-87.021874126086,Wolcott,2021-02-23T23:30:00Z,40,40,40,1,,32767,0,0,5,225,8,247.5,29.904,32,32,33,33,42,29,12,7
78,40.695819004777,-86.365903701672,Logansport,2021-02-23T23:30:00Z,37,37,37,84,,32767,0,0,5,225,6,225,29.922,32,31,32,33,113,87,34,53
79,40.897101287086,-86.516266233132,Royal Center,2021-02-23T23:45:00Z,36,37,36,85,,32767,0,0,4,202.5,6,202.5,29.875,32,32,33,34,28,7,15,18
81,40.69341,-87.25839,Fowler,2021-02-23T23:30:00Z,37,38,37,86,,32767,0,0,1,180,3,180,29.913,32,34,35,36,21,18,12,13
82,40.607149930187,-87.403966870198,Fowler,2021-02-23T23:45:00Z,36,39,36,85,,32767,0,0,1,135,4,157.5,30.024,32,32,33,34,9,12,7,9
83,40.661281522936,-87.467932190785,Earl Park,2021-02-23T23:45:00Z,40,40,38,86,,32767,0,0,0,,0,,29.879,32,33,33,34,13,12,13,15
84,40.667348591908,-87.134882297406,Remington,2021-02-23T23:45:00Z,39,39,39,84,,32767,0,0,0,,0,,30.037,32,33,34,35,13,35,11,8
85,40.737780350917,-87.219055380711,Goodland,2021-02-23T23:30:00Z,36,37,36,89,,32767,0,0,6,202.5,7,202.5,29.923,32,32,34,35,124,49,10,35
87,40.631165884916,-86.667271342168,Delphi,2021-02-23T23:45:00Z,39,41,39,80,,32767,0,0,1,247.5,2,247.5,29.895,32,32,33,34,17,14,8,11
89,40.688775250626,-86.736642655025,Yoeman,2021-02-23T23:30:00Z,42,43,42,76,,32767,0,0,3,202.5,5,202.5,29.911,32,33,33,34,15,37,28,19
90,40.628254949825,-86.375591840634,Deer Creek,2021-02-23T23:30:00Z,38,39,38,82,,32767,0,0,0,,0,,29.935,34,34,35,35,38,9,16,11
92,40.623731552762,-86.447208162437,Deer Creek,2021-02-23T23:15:00Z,39,40,39,81,,32767,0,0,5,225,7,225,30.128,31,31,31,32,200,200,200,200
93,40.552261168203,-86.439149465451,Wheeling,2021-02-23T23:45:00Z,38,40,38,78,,32767,0,0,1,202.5,3,202.5,29.915,35,32,33,34,200,60,14,24
95,40.536406879934,-86.551531340966,Flora,2021-02-23T23:30:00Z,38,40,38,80,,32767,0,0,1,225,5,225,29.906,31,31,32,32,200,200,100,46
96,40.624650710675,-86.523503597865,Camden,2021-02-23T23:45:00Z,38,40,38,79,,32767,0,0,3,180,4,180,30.139,34,34,35,35,12,200,18,21
97,40.472147655595,-86.652873788857,Delphi,2021-02-23T23:30:00Z,42,44,42,73,,32767,0,0,0,,0,,29.836,32,33,34,34,15,21,20,17
99,40.00725,-87.10279,Hillsboro,2021-02-23T23:45:00Z,48,49,47,65,,32767,0,0,2,225,4,225,30.128,32,33,33,34,20,19,8,8
100,40.164184845858,-87.129829015622,Mellott,2021-02-23T23:30:00Z,45,46,45,55,,32767,0,0,1,225,5,225,30.084,33,33,34,35,55,40,31,13
101,40.055670368475,-87.158613686346,Hillsboro,2021-02-23T23:30:00Z,44,45,44,76,,32767,0,0,5,0,9,0,29.906,33,33,34,35,19,28,20,13
102,40.087450422238,-86.729214277158,Darlington,2021-02-23T23:30:00Z,42,46,42,78,,32767,0,0,5,225,7,270,29.964,33,33,35,36,13,10,8,7
103,40.145992995189,-86.847446050534,Linden,2021-02-23T23:45:00Z,43,44,43,76,,32767,0,0,3,292.5,4,292.5,29.931,38,33,34,36,200,39,107,28
104,40.018465743367,-86.940767352365,Crawfordsville,2021-02-23T23:30:00Z,47,47,46,66,,32767,0,0,0,202.5,2,202.5,29.93,33,32,31,33,16,200,15,9
105,39.892396737007,-86.72275551785,North Salem,2021-02-23T23:45:00Z,46,47,46,64,,32767,0,0,1,202.5,4,0,30.528,31,33,34,35,17,20,200,8
106,39.984196851005,-86.740364220033,New Ross,2021-02-23T23:30:00Z,43,45,43,80,,32767,0,0,2,202.5,4,202.5,29.978,32,32,33,33,20,23,8,10
108,39.870691447378,-86.826607968697,Roachdale,2021-02-23T23:30:00Z,46,46,46,66,,32767,0,0,3,247.5,5,247.5,30.052,32,32,33,34,12,9,6,9
109,39.898631967889,-86.893311824689,Parkersburg,2021-02-23T23:30:00Z,43,44,43,78,,32767,0,0,5,225,6,225,29.956,32,32,32,33,200,200,46,13
110,39.929524000648,-86.896321263203,Crawfordsville,2021-02-23T23:45:00Z,43,45,43,73,,32767,0,0,4,225,6,225,29.96,31,32,32,34,200,82,8,5
112,39.883063409148,-87.011170771012,Waveland,2021-02-23T23:30:00Z,44,45,44,74,,32767,0,0,5,247.5,6,225,30.038,32,32,33,34,55,14,115,95
113,40.28084184338,-86.378520812878,Boyleston,2021-02-23T23:45:00Z,39,40,39,82,,32767,0,0,0,,0,,29.908,32,32,33,34,58,33,31,12
114,40.33221,-86.38949,Michigantown,2021-02-23T23:30:00Z,43,44,43,77,,32767,0,0,2,202.5,5,225,29.689,32,32,34,37,200,162,27,21
115,40.19144,-86.50895,Frankfort,2021-02-23T23:30:00Z,41,44,41,67,,32767,0,0,0,225,3,225,29.982,32,33,34,34,25,48,38,35
116,40.257054493633,-86.455001320729,Frankfort,2021-02-23T23:30:00Z,42,42,42,79,,32767,0,0,0,,0,,29.953,33,34,34,35,10,200,8,9
117,40.33982,-86.5305,Frankfort,2021-02-23T23:45:00Z,42,43,41,74,,32767,0,0,1,247.5,2,247.5,29.737,33,33,34,34,10,11,9,7
118,40.224598690524,-86.552970346102,Frankfort,2021-02-23T23:45:00Z,41,42,41,78,,32767,0,0,3,202.5,5,202.5,29.939,32,32,33,34,15,12,200,9
119,40.357423058538,-86.325579371343,Forest,2021-02-23T23:30:00Z,37,38,37,85,,32767,0,0,3,247.5,5,247.5,29.948,31,32,33,32,107,58,46,23
120,40.33095,-86.26613,Forest,2021-02-23T23:30:00Z,40,41,40,79,,32767,0,0,0,,0,,29.936,32,32,33,34,200,33,,39
122,40.187308149575,-86.34427839149,Kirklin,2021-02-23T23:30:00Z,39,41,39,82,,32767,0,0,2,270,4,270,29.946,32,32,32,34,94,11,8,84
123,40.256952146774,-86.352927174458,Hillisburg,2021-02-23T23:30:00Z,40,40,40,81,,32767,0,0,0,,0,,29.947,31,32,33,32,200,,69,200
124,40.409452825492,-86.3601101302,Middlefork,2021-02-23T23:45:00Z,36,36,36,85,,32767,0,0,4,0,6,0,30.034,33,34,34,35,13,12,9,7
125,40.409608704153,-86.435486944402,Middlefork,2021-02-23T23:30:00Z,38,39,38,83,,32767,0,0,5,202.5,6,202.5,29.917,,,,,,,,
